detect T,t_detect,keypoints,descr T,t_extract,matches,t_match,ttc_camera,ttc_lidar,t_total,imgNumber
BRISK,134.544,2952,BRIEF,13.6206,2952,21.4005,12.4078,14.091,169.565,0003
BRISK,132.992,2855,BRIEF,13.0795,2922,20.6961,19.8619,16.6894,166.768,0004
BRISK,133.823,2907,BRIEF,13.3446,2826,19.9048,27.574,15.9082,167.072,0005
BRISK,133.728,2886,BRIEF,13.3217,2875,20.0982,17.9553,12.6787,167.148,0006
BRISK,134.397,2886,BRIEF,13.2439,2856,18.9446,17.7352,11.9844,166.585,0007
BRISK,135.682,2893,BRIEF,13.3465,2849,19.9653,18.3888,13.1241,168.993,0008
BRISK,149.903,2929,BRIEF,13.967,2868,18.7115,14.9776,13.0241,182.582,0009
BRISK,139.081,3023,BRIEF,14.4419,2903,18.8198,12.0463,11.1746,172.343,0010
BRISK,136.211,3013,BRIEF,13.8749,2989,21.0515,11.5388,12.8086,171.138,0011
BRISK,137.536,2949,BRIEF,13.7607,2977,20.9621,14.3096,8.95978,172.258,0012
BRISK,137.497,3013,BRIEF,13.7911,2906,21.1343,12.8984,9.96439,172.422,0013
BRISK,140.559,3023,BRIEF,14.6969,2971,23.6682,10.317,9.59863,178.924,0014
BRISK,203.875,3073,BRIEF,17.4108,2984,23.5842,11.0965,8.57352,244.87,0015
BRISK,207.755,3130,BRIEF,17.8436,3023,23.0168,13.0233,9.51617,248.615,0016
BRISK,205.892,3136,BRIEF,17.6231,3080,23.8359,11.0728,9.54658,247.351,0017
BRISK,204.857,3146,BRIEF,17.7589,3098,24.2998,9.60224,8.3988,246.916,0018
BRISK,136.266,2997,ORB,26.0464,2860,20.8707,13.8234,12.5156,183.184,0001
BRISK,108.544,2974,ORB,26.1861,2955,20.3521,14.8451,12.6142,155.083,0002
BRISK,111.034,2952,ORB,25.5397,2933,20.027,13.4457,14.091,156.6,0003
BRISK,109.726,2855,ORB,25.4707,2908,19.7543,19.9345,16.6894,154.951,0004
BRISK,133.621,2907,ORB,31.2901,2811,21.984,20.2689,15.9082,186.895,0005
BRISK,133.478,2886,ORB,31.6944,2854,21.4096,15.5845,12.6787,186.582,0006
BRISK,174.697,2886,ORB,30.9628,2829,21.274,19.0195,11.9844,226.934,0007
BRISK,159.816,2893,ORB,31.6819,2832,21.5565,15.4934,13.1241,213.054,0008
BRISK,147.813,2929,ORB,25.5551,2854,19.4377,12.5557,13.0241,192.806,0009
BRISK,134.719,3023,ORB,25.4665,2887,21.1927,12.5472,11.1746,181.378,0010
BRISK,135.325,3013,ORB,26.0001,2974,21.665,12.6549,12.8086,182.99,0011
BRISK,134.777,2949,ORB,25.4494,2955,19.8617,11.3348,8.95978,180.088,0012
BRISK,136.714,3013,ORB,25.8123,2883,19.3887,11.4355,9.96439,181.915,0013
BRISK,136.441,3023,ORB,25.9519,2943,20.3075,10.7615,9.59863,182.7,0014
BRISK,137.161,3073,ORB,25.671,2955,20.9049,13.0574,8.57352,183.737,0015
